CustomerKey,Amount,Frequency,Recency
11486,$34.99 ,1,767
11487,$53.99 ,1,746
11488,"$8,090.33 ",3,853
11489,"$8,127.51 ",3,824
11503,$61.78 ,2,753
11504,$44.57 ,2,972
11505,$846.77 ,16,737
11506,$748.60 ,16,708
11520,$822.97 ,16,711
11521,$44.57 ,2,784
11522,"$5,888.24 ",2,1063
11523,"$2,376.96 ",1,1049
11536,"$5,915.54 ",2,1015
11537,"$5,873.26 ",2,1012
11538,"$5,895.24 ",2,1035
11539,"$5,997.73 ",2,1011
11553,$21.49 ,1,861
11554,$34.99 ,1,967
11555,$34.99 ,1,967
11556,$21.49 ,1,740
11570,"$4,391.41 ",2,1022
11571,"$4,390.68 ",2,1016
11572,"$4,450.37 ",2,1028
11573,$34.99 ,1,887
11586,$8.99 ,1,794
11587,"$4,540.38 ",2,996
11588,"$4,369.09 ",2,963
11589,$14.98 ,1,940
11590,"$4,384.07 ",2,952
11603,"$6,767.14 ",3,814
11604,"$6,786.12 ",3,806
11605,"$4,344.09 ",2,1036
11606,"$5,922.23 ",2,916
11620,$44.57 ,2,887
11621,$123.24 ,2,792
11622,$133.75 ,2,929
11623,"$5,948.24 ",2,979
11637,$39.58 ,2,1049
11638,$77.27 ,2,803
11639,$127.26 ,2,722
11640,$409.12 ,5,732
11653,$178.96 ,2,810
11654,"$5,955.23 ",2,981
11655,$50.23 ,2,759
11656,$77.27 ,2,718
11670,$100.27 ,2,834
11671,"$5,970.23 ",2,997
11672,$113.48 ,2,834
11673,$191.95 ,2,1033
11687,$97.98 ,2,923
11688,"$5,967.23 ",2,1050
11689,$88.99 ,2,850
11690,"$5,904.23 ",2,979
11703,$100.27 ,2,775
11704,$93.98 ,2,897
11705,"$5,940.54 ",2,948
11706,$88.99 ,2,818
11707,"$6,025.22 ",2,951
12191,$245.47 ,2,824
12205,$51.27 ,2,731
12206,"$5,908.25 ",2,1028
12207,"$5,875.55 ",2,994
12208,"$5,954.22 ",2,989
12221,"$5,968.25 ",2,894
12222,"$6,909.10 ",3,754
12223,$34.99 ,1,875
12224,$84.98 ,1,776
12225,"$4,381.39 ",2,960
12238,$34.99 ,1,905
12239,"$6,901.42 ",3,744
12240,"$3,964.98 ",2,941
12241,"$3,989.46 ",2,924
12255,"$5,883.25 ",2,894
12256,"$5,953.25 ",2,867
12257,$49.99 ,1,756
12258,$49.99 ,1,821
12272,"$5,139.73 ",3,997
12273,$49.99 ,1,882
12274,$34.99 ,1,815
12275,"$4,435.38 ",2,884
12288,$147.96 ,2,721
12289,"$5,645.86 ",3,953
12290,"$5,873.26 ",2,879
12291,"$8,067.90 ",4,771
12292,"$5,027.86 ",3,784
12305,"$4,940.39 ",3,793
12306,$74.97 ,2,936
12307,"$13,173.19 ",5,774
12308,"$13,269.27 ",5,772
12322,$49.99 ,1,739
12323,"$10,836.90 ",4,960
12324,$66.26 ,2,777
12325,$132.95 ,2,735
12338,"$8,265.00 ",3,866
12339,"$6,865.46 ",3,880
12340,"$6,752.13 ",3,829
12341,"$6,840.62 ",3,843
12342,"$6,838.12 ",3,829
12355,"$6,818.11 ",3,835
12356,"$6,810.13 ",3,833
12357,$117.94 ,3,719
12358,"$6,787.76 ",3,848
12372,$99.03 ,3,895
12373,"$5,937.73 ",2,866
12374,$34.99 ,1,1057
12375,$43.98 ,1,719
12389,$49.99 ,1,778
12390,"$4,977.86 ",3,949
12391,"$5,121.43 ",3,946
12392,$75.47 ,2,1021
12405,$36.59 ,1,723
12406,$35.00 ,1,745
12407,$74.98 ,1,796
12408,$42.28 ,1,822
12409,$155.00 ,2,784
12422,$35.00 ,1,809
12423,"$5,908.25 ",2,773
12424,$99.47 ,1,858
12425,$89.98 ,1,774
12907,$141.98 ,1,1017
12908,$85.48 ,1,1030
12909,$71.97 ,1,804
12910,$56.97 ,1,816
12923,"$4,486.54 ",2,820
12924,$90.95 ,1,790
12925,$21.98 ,1,1021
12926,"$4,795.31 ",2,1001
12927,$108.46 ,2,891
12940,$108.46 ,2,799
12941,"$4,818.33 ",2,1002
12942,"$4,501.55 ",2,992
12943,$105.95 ,2,714
12957,$43.99 ,2,734
12958,$207.98 ,2,784
12959,$203.92 ,4,732
12960,$51.27 ,2,948
12974,$56.97 ,1,715
12975,"$4,618.53 ",2,810
12976,$21.98 ,1,850
12977,$71.97 ,1,1030
12990,"$6,829.47 ",3,821
12991,"$5,641.90 ",3,835
12992,$158.51 ,3,875
12993,$96.25 ,3,947
13007,"$5,671.24 ",3,802
13008,$125.51 ,3,744
13009,$168.67 ,3,740
13010,"$5,716.52 ",3,810
13024,"$2,665.06 ",2,760
13025,"$2,690.40 ",2,736
13026,$155.94 ,2,755
13027,"$2,319.26 ",1,872
13040,$94.97 ,2,713
13041,$153.95 ,2,925
13042,$84.47 ,2,800
13043,$175.93 ,2,831
13044,$59.98 ,2,777
13057,"$3,341.81 ",2,786
13058,"$3,032.31 ",2,1075
13059,"$3,089.80 ",2,1096
13060,"$2,808.00 ",2,1056
13074,$56.97 ,1,973
